Model,Experiment,Prompt_Version,MTE_Mean,MTE_Std,MTE_Mean_Last_10s,MTE_Std_Last_10s
llama3.1_latest,Dynamic_Motion,v2,0.021,0.069,0.003,0.005
llama3.1_8b,Dynamic_Motion,v2,,,--,--
llama3.1_70b,Dynamic_Motion,v2,0.022,0.071,0.004,0.005
gemma4_e4b,Dynamic_Motion,v2,0.022,0.071,0.004,0.005
gemma4_31b,Dynamic_Motion,v2,0.022,0.071,0.004,0.005
qwen3.5_9b,Dynamic_Motion,v2,0.022,0.071,0.004,0.005
qwen3.5_27b,Dynamic_Motion,v2,0.022,0.071,0.004,0.005
qwen3.5_35b,Dynamic_Motion,v2,0.022,0.071,0.004,0.005
llama3.1_latest,Dynamic_Motion,v1,0.091,0.093,0.077,0.078
llama3.1_8b,Dynamic_Motion,v1,0.021,0.068,0.003,0.005
llama3.1_70b,Dynamic_Motion,v1,0.125,0.104,0.112,0.095
gemma4_e4b,Dynamic_Motion,v1,0.022,0.071,0.004,0.005
gemma4_31b,Dynamic_Motion,v1,0.022,0.071,0.004,0.005
qwen3.5_9b,Dynamic_Motion,v1,0.022,0.071,0.004,0.005
qwen3.5_27b,Dynamic_Motion,v1,0.022,0.071,0.004,0.005
qwen3.5_35b,Dynamic_Motion,v1,0.022,0.071,0.004,0.005
llama3.1_latest,Dynamic_Motion,v1.5,0.021,0.069,0.003,0.005
llama3.1_8b,Dynamic_Motion,v1.5,0.06,0.076,0.046,0.047
llama3.1_70b,Dynamic_Motion,v1.5,0.021,0.069,0.004,0.005
gemma4_e4b,Dynamic_Motion,v1.5,0.022,0.071,0.004,0.005
gemma4_31b,Dynamic_Motion,v1.5,0.022,0.071,0.004,0.005
qwen3.5_9b,Dynamic_Motion,v1.5,0.022,0.071,0.004,0.005
qwen3.5_27b,Dynamic_Motion,v1.5,0.022,0.071,0.004,0.005
qwen3.5_35b,Dynamic_Motion,v1.5,0.022,0.071,0.004,0.005
llama3.1_latest,Dynamic_Motion,pnp,0.024,0.077,0.005,0.005
llama3.1_8b,Dynamic_Motion,pnp,0.025,0.077,0.005,0.005
llama3.1_70b,Dynamic_Motion,pnp,0.025,0.077,0.005,0.005
gemma4_e4b,Dynamic_Motion,pnp,0.025,0.077,0.005,0.005
gemma4_31b,Dynamic_Motion,pnp,0.025,0.077,0.005,0.005
qwen3.5_9b,Dynamic_Motion,pnp,,,,
qwen3.5_27b,Dynamic_Motion,pnp,0.025,0.077,0.005,0.005
qwen3.5_35b,Dynamic_Motion,pnp,0.025,0.077,0.005,0.005
llama3.1_latest,Multiple_Safety_Conditions,v2,0.209,0.033,0.208,0.031
llama3.1_8b,Multiple_Safety_Conditions,v2,0.209,0.033,0.208,0.031
llama3.1_70b,Multiple_Safety_Conditions,v2,0.206,0.105,0.207,0.106
gemma4_e4b,Multiple_Safety_Conditions,v2,0.201,0.107,0.202,0.109
gemma4_31b,Multiple_Safety_Conditions,v2,0.364,0.085,0.364,0.085
qwen3.5_9b,Multiple_Safety_Conditions,v2,0.262,0.124,0.262,0.125
qwen3.5_27b,Multiple_Safety_Conditions,v2,0.331,0.117,0.330,0.117
qwen3.5_35b,Multiple_Safety_Conditions,v2,0.338,0.118,0.338,0.118
llama3.1_latest,Multiple_Safety_Conditions,v1,0.293,0.059,0.293,0.059
llama3.1_8b,Multiple_Safety_Conditions,v1,0.206,0.105,0.207,0.106
llama3.1_70b,Multiple_Safety_Conditions,v1,0.396,0.076,0.396,0.077
gemma4_e4b,Multiple_Safety_Conditions,v1,0.458,0.034,0.458,0.034
gemma4_31b,Multiple_Safety_Conditions,v1,0.405,0.149,0.404,0.149
qwen3.5_9b,Multiple_Safety_Conditions,v1,0.528,0.116,0.532,0.115
qwen3.5_27b,Multiple_Safety_Conditions,v1,0.529,0.117,0.534,0.114
qwen3.5_35b,Multiple_Safety_Conditions,v1,0.529,0.117,0.534,0.114
llama3.1_latest,Multiple_Safety_Conditions,v1.5,0.242,0.056,0.241,0.056
llama3.1_8b,Multiple_Safety_Conditions,v1.5,0.242,0.056,0.241,0.056
llama3.1_70b,Multiple_Safety_Conditions,v1.5,0.491,0.041,0.492,0.041
gemma4_e4b,Multiple_Safety_Conditions,v1.5,0.362,0.053,0.362,0.053
gemma4_31b,Multiple_Safety_Conditions,v1.5,0.4,0.171,0.400,0.172
qwen3.5_9b,Multiple_Safety_Conditions,v1.5,0.648,0.107,0.650,0.107
qwen3.5_27b,Multiple_Safety_Conditions,v1.5,0.328,0.185,0.325,0.186
qwen3.5_35b,Multiple_Safety_Conditions,v1.5,0.544,0.136,0.548,0.137
llama3.1_latest,Multiple_Safety_Conditions,pnp,0.709,0.13,0.744,0.069
llama3.1_8b,Multiple_Safety_Conditions,pnp,0.709,0.13,0.744,0.069
llama3.1_70b,Multiple_Safety_Conditions,pnp,0.197,0.073,0.211,0.050
gemma4_e4b,Multiple_Safety_Conditions,pnp,0.281,0.017,0.280,0.004
gemma4_31b,Multiple_Safety_Conditions,pnp,0.206,0.078,0.221,0.054
qwen3.5_9b,Multiple_Safety_Conditions,pnp,,,,
qwen3.5_27b,Multiple_Safety_Conditions,pnp,0.206,0.078,0.221,0.054
qwen3.5_35b,Multiple_Safety_Conditions,pnp,0.206,0.078,0.221,0.054
llama3.1_latest,Cluttered_tabletop_custom,v2,0.042,0.045,0.034,0.022
llama3.1_8b,Cluttered_tabletop_custom,v2,0.042,0.045,0.034,0.022
llama3.1_70b,Cluttered_tabletop_custom,v2,0.042,0.045,0.034,0.022
gemma4_e4b,Cluttered_tabletop_custom,v2,0.058,0.045,0.050,0.025
gemma4_31b,Cluttered_tabletop_custom,v2,0.324,0.08,0.319,0.080
qwen3.5_9b,Cluttered_tabletop_custom,v2,,,,
qwen3.5_27b,Cluttered_tabletop_custom,v2,0.16,0.03,0.155,0.019
qwen3.5_35b,Cluttered_tabletop_custom,v2,,,,
llama3.1_latest,Cluttered_tabletop_custom,v1,0.608,0.057,0.617,0.040
llama3.1_8b,Cluttered_tabletop_custom,v1,0.355,0.041,0.356,0.042
llama3.1_70b,Cluttered_tabletop_custom,v1,0.043,0.048,0.034,0.022
gemma4_e4b,Cluttered_tabletop_custom,v1,0.226,0.02,0.223,0.015
gemma4_31b,Cluttered_tabletop_custom,v1,0.216,0.085,0.197,0.062
qwen3.5_9b,Cluttered_tabletop_custom,v1,,,,
